uid,score,acc
1838,-162.0428935,23.5213265
1199,-162.044624,22.71863313
3510,-162.04564,23.74978081
3374,-162.0494822,22.99312792
3546,-162.051733,22.26247113
1779,-162.0556065,23.97410053
3375,-162.056332,22.76148864
2025,-162.0565407,23.17851684
2018,-162.0565507,22.65380576
3486,-162.0571672,23.86767939
2526,-162.0578382,22.42814926
1724,-162.0590658,23.29197366
2414,-162.0608671,21.99649216
3036,-162.0662318,23.223892
1578,-162.0667121,15.7527133
3490,-162.0682112,22.57610982
1951,-162.0691562,23.22139308
2523,-162.0694299,22.24723226
2028,-162.0704328,22.74680981
2967,-162.0705269,23.5559242
3997,-162.0726826,24.17400468
2014,-162.0738256,22.72954607
1855,-162.0746939,23.61297066
1950,-162.0747237,22.40523166
3500,-162.0764149,24.87707372
3506,-162.0772314,24.02538476
1766,-162.0786517,20.70482367
3466,-162.079023,24.72439705
3934,-162.0803423,24.90785817
3434,-162.081355,23.2578971
3496,-162.0822094,23.72175016
3560,-162.0842246,24.01862344
1981,-162.0870368,23.79084857
1646,-162.0884952,22.11818925
3570,-162.0889037,23.97502871
4055,-162.090173,24.14797095
4050,-162.092632,22.8064338
3611,-162.0974083,23.80882997
1471,-162.097539,23.25697968
2462,-162.0981994,21.94965787
3230,-162.098233,24.19420042
1643,-162.099284,21.89203641
2962,-162.1015307,22.91522971
1976,-162.1028456,23.3335393
2527,-162.1046448,21.82130995
2011,-162.1066469,22.76687675
1975,-162.1077324,23.33269943
3386,-162.107918,24.42949723
1930,-162.1085749,22.33406303
2553,-162.1110632,21.60648691
1662,-162.1117044,23.47844076
2482,-162.1119946,24.04958428
1851,-162.113315,24.37733537
2447,-162.1136087,22.78020626
2552,-162.1144811,24.21634688
1919,-162.1172227,24.45057799
1678,-162.1173047,22.52394258
3575,-162.117331,23.55205596
2551,-162.1182131,24.12577223
1994,-162.1188997,23.54769058
3513,-162.1217198,22.34084034
2426,-162.121761,22.71486754
1721,-162.1221057,22.43571336
3564,-162.1221575,24.82133382
3794,-162.124597,23.76141067
3450,-162.1251343,23.48739647
1467,-162.1258625,23.60731038
3581,-162.1266946,23.8146651
3370,-162.1270784,23.48578348
1964,-162.1281505,23.11455325
2470,-162.1282575,15.77629876
3531,-162.1283551,25.43107224
1659,-162.1313175,23.99698328
3737,-162.1314062,22.6910874
3987,-162.131861,24.54237302
3495,-162.1333419,25.22231727
2846,-162.1340651,23.06273677
1198,-162.1340686,22.01468465
2506,-162.1340818,21.96278341
2038,-162.1346907,22.68346688
1598,-162.1374714,23.16414047
2655,-162.1375433,22.27164435
2842,-162.1378346,22.42422688
2550,-162.1386725,22.48422112
3454,-162.1391642,24.20073833
2547,-162.1395556,23.66588487
1658,-162.1397199,23.76988435
4056,-162.1405968,23.45816561
1738,-162.140611,21.84899856
3555,-162.1412811,24.41805299
1783,-162.1423064,24.22851609
1743,-162.1427166,23.70148785
3435,-162.1442477,23.45906141
2411,-162.1450033,21.72294698
2039,-162.1452928,23.70810845
2487,-162.1460352,22.67648582
1999,-162.1469395,22.68648928
3731,-162.1472679,24.71243501
2587,-162.1473294,22.23295252
3678,-162.1478251,22.72540582
1915,-162.148741,24.28281183
2522,-162.1487865,20.78467428
2346,-162.1492219,15.51751349
3512,-162.1494538,24.14406
1699,-162.1516366,23.22125542
1850,-162.1544635,22.90684741
3535,-162.1555269,25.06410905
2847,-162.1559789,24.673773
2446,-162.1580557,23.45656806
2493,-162.1590286,21.90825497
1998,-162.1599539,23.87560422
4054,-162.1603936,24.32650307
1739,-162.1605029,23.11203493
3467,-162.1605429,25.2923436
2911,-162.1617498,23.35745516
3638,-162.1625122,22.39715275
1903,-162.1636933,24.32409098
1642,-162.1651655,15.51441331
3291,-162.1680638,25.95255892
2476,-162.1686488,21.37985769
2972,-162.1690098,22.61058131
2347,-162.1700858,22.54630732
2488,-162.1713249,23.9972309
2530,-162.1714098,22.18145284
2430,-162.1719143,25.1024338
1714,-162.1719557,23.56832254
1918,-162.1728011,23.73113091
1789,-162.1754129,23.06639635
3866,-162.176089,23.81553756
4060,-162.176619,23.40444683
1258,-162.1769202,22.06733311
3741,-162.1776881,22.96378472
2410,-162.1788379,16.19174822
1719,-162.1799227,22.71611189
1579,-162.179929,22.51254978
1778,-162.1799372,23.12693472
1725,-162.1807786,23.37467725
3455,-162.1808542,24.49445445
2610,-162.1813227,23.27955311
3610,-162.1822708,23.08580315
2363,-162.1829375,24.02654735
3614,-162.1831656,22.54959194
2936,-162.1838011,22.95835072
1278,-162.1853855,22.71428963
3799,-162.186235,23.81256492
2034,-162.1868824,24.01149337
1970,-162.1878751,23.78945787
3561,-162.1884238,23.25346671
3226,-162.188998,24.07691638
3451,-162.189434,25.23481467
2415,-162.1897459,23.20603048
3471,-162.1901089,24.00759983
2486,-162.1933296,23.92100715
2045,-162.1937316,23.54749347
2771,-162.1940264,22.46556743
1647,-162.1945022,23.27031074
1784,-162.1946151,24.6429895
3805,-162.1954906,23.93351477
3986,-162.1959109,24.06752059
2540,-162.1969092,21.78162921
3679,-162.1978583,23.16140049
1663,-162.1979892,23.22280721
3992,-162.1983085,22.42760443
2614,-162.1989753,23.07355798
3935,-162.1991951,23.77420649
3734,-162.1993858,23.13929621
2711,-162.1996557,22.52717203
3576,-162.1998965,24.943893
1698,-162.2001557,15.23457369
1274,-162.2034392,24.38945752
3571,-162.2043647,24.26721785
2510,-162.2043968,23.75059406
3390,-162.204565,24.8163115
2427,-162.2046891,23.30884871
2366,-162.2055871,24.75505936
3371,-162.2058427,23.34017577
3795,-162.2063335,23.34648152
2780,-162.210255,21.61406488
2489,-162.2110391,22.00938581
1788,-162.2111944,23.43055316
1839,-162.2112536,24.46063944
2969,-162.2123295,21.97090052
2781,-162.2131178,22.59300111
3295,-162.2131526,24.62269977
3031,-162.2135457,23.4404754
3580,-162.2137606,25.15817355
2590,-162.2137977,22.00150255
2023,-162.214098,24.25125014
2443,-162.2141119,22.51616602
1785,-162.2141284,22.75785923
